ID,Date,Venue,T1,T2,T1_Mat,T1_BowlsFace,T1_OversBowl,T1_RunsScored,T1_4s,T1_6s,T1_RunsConceded,T1_WktsTaken,T1_W/L,T1_WktsLost,T2_Mat,T2_BowlsFace,T2_OversBowl,T2_RunsScored,T2_4s,T2_6s,T2_RunsConceded,T2_WktsTaken,T2_W/L,T2_WktsLost,Winner
1,9-Jan-11,Durban,South Africa,India,34,3835,655.3,4541,385,157,4763,217,1.833,204,22,2574,428.2,3297,277,132,3421,118,1,136,T2
2,12-Jan-11,Adelaide,Australia,England,36,3956,674.1,5283,440,208,4978,235,1.4,219,30,3483,546.4,4390,418,120,4207,177,1.142,188,T2
3,14-Jan-11,Melbourne,Australia,England,37,4076,694.1,5436,454,212,5131,244,1.312,223,31,3603,566.4,4541,435,124,4362,181,1.214,197,T1
4,21-Apr-11,Gros Islet,Pakistan,West Indies,38,4464,717.1,5313,445,177,5151,235,1.235,255,24,2525,445.4,3002,276,99,3603,128,0.714,153,T2
5,4-Jun-11,Port of Spain,India,West Indies,23,2694,448.2,3461,293,137,3561,126,1.09,142,25,2646,465.4,3146,289,105,3745,136,0.785,160,T1
6,25-Jun-11,Bristol,England,Sri Lanka,32,3725,586.4,4674,442,125,4507,188,1.133,203,29,3304,549.4,3882,380,93,4100,167,1.071,183,T2
7,6-Aug-11,Pallekele,Australia,Sri Lanka,38,4196,714.1,5580,463,217,5272,250,1.375,230,30,3408,569.4,4005,394,94,4233,174,1.142,184,T2
8,8-Aug-11,Pallekele,Australia,Sri Lanka,39,4316,734.1,5737,475,223,5463,253,1.294,238,31,3528,589.4,4190,418,99,4395,181,1.214,187,T2
9,31-Aug-11,Manchester,India,England,24,2816,468.2,3607,303,143,3700,131,1.181,148,33,3846,604,4803,450,130,4641,189,1.062,212,T2
10,23-Sep-11,The Oval,England,West Indies,34,3963,623.4,4959,469,132,4799,198,1.125,216,26,2766,485.4,3282,301,110,3903,142,0.733,165,T1
11,25-Sep-11,The Oval,England,West Indies,35,4060,643.2,5079,480,135,4924,206,1.187,216,27,2884,501,3404,310,115,4031,142,0.687,175,T2
12,11-Oct-11,Mirpur,West Indies,Bangladesh,28,3004,517.4,3514,317,117,4116,148,0.75,180,13,1454,230.5,1507,130,46,1897,57,0.083,111,T2
13,13-Oct-11,Cape Town,South Africa,Australia,35,3955,675.3,4678,394,164,4930,222,1.692,213,40,4437,754.1,5878,485,231,5618,262,1.222,247,T2
14,16-Oct-11,Johannesburg,South Africa,Australia,36,4075,695,4813,407,168,5072,226,1.571,220,41,4555,774.1,6017,497,235,5758,268,1.277,252,T1
15,29-Oct-11,Eden Gardens,England,India,36,4160,663.2,5163,488,136,5036,211,1.117,226,25,2934,487.5,3762,317,149,3862,135,1.083,158,T1
16,25-Nov-11,Abu Dhabi,Sri Lanka,Pakistan,32,3649,609.4,4337,435,101,4538,189,1.285,196,39,4590,737.1,5448,457,178,5300,241,1.166,264,T2
17,29-Nov-11,Mirpur,Pakistan,Bangladesh,40,4707,756.4,5585,468,181,5438,249,1.222,269,14,1574,250.5,1636,140,49,2023,65,0.166,118,T1
18,1-Feb-12,Sydney,Australia,India,42,4675,793.2,6157,505,243,5904,275,1.21,260,26,3054,506.3,3880,328,152,3979,139,1,167,T1
19,3-Feb-12,Melbourne,Australia,India,43,4795,813.2,6325,514,252,6041,281,1.263,264,27,3175,526.3,4010,336,156,4149,143,0.928,173,T2
20,17-Feb-12,Wellington,South Africa,New Zealand,37,4190,715,4953,420,173,5218,233,1.642,227,36,4134,678.5,4696,380,168,5105,212,0.714,264,T2
21,19-Feb-12,Hamilton,South Africa,New Zealand,38,4310,734.2,5093,428,180,5363,236,1.533,233,37,4252,698.5,4837,390,172,5245,217,0.761,268,T1
22,22-Feb-12,Auckland,South Africa,New Zealand,39,4406,754.2,5255,438,193,5532,239,1.6,235,38,4372,714.5,5001,405,181,5417,219,0.727,272,T1
23,23-Feb-12,Dubai (DSC),Pakistan,England,41,4828,776.4,5706,479,183,5517,256,1.277,276,37,4272,683.2,5276,497,140,5155,219,1.176,230,T1
24,25-Feb-12,Dubai (DSC),Pakistan,England,42,4948,796.4,5838,491,186,5648,262,1.333,282,38,4392,703.2,5403,506,142,5288,224,1.111,236,T2
25,27-Feb-12,Abu Dhabi,Pakistan,England,43,5059,816.4,5945,500,191,5793,268,1.263,292,39,4512,721.4,5545,520,145,5400,233,1.166,243,T2
26,27-Mar-12,Gros Islet,Australia,West Indies,44,4913,833,6452,527,254,6176,283,1.2,274,29,3124,537.3,3636,324,123,4250,155,0.705,188,T1
27,30-Mar-12,Johannesburg,South Africa,India,40,4526,774.2,5417,451,200,5689,246,1.666,242,28,3293,546.1,4141,347,157,4280,149,1,175,T1
28,30-Mar-12,Bridgetown,Australia,West Indies,45,5023,853,6601,538,262,6325,289,1.25,276,30,3244,555.4,3783,338,128,4402,157,0.666,195,T2
29,1-Jun-12,Hambantota,Sri Lanka,Pakistan,33,3766,629.1,4462,447,101,4680,194,1.2,206,44,5179,836.4,6057,507,192,5921,273,1.2,298,T1
30,3-Jun-12,Hambantota,Sri Lanka,Pakistan,34,3886,646.5,4586,459,103,4773,203,1.266,213,45,5285,856.4,6133,513,193,6049,279,1.142,308,T2
31,24-Jun-12,Nottingham,England,West Indies,40,4632,741.4,5666,528,148,5517,237,1.222,249,31,3363,575.4,3932,352,133,4548,165,0.722,205,T1
32,30-Jun-12,Lauderhill,New Zealand,West Indies,39,4493,734.5,5145,419,186,5581,225,0.695,279,32,3483,595.2,4091,361,143,4719,168,0.684,209,T2
33,1-Jul-12,Lauderhill,West Indies,New Zealand,33,3606,613.5,4280,377,155,4864,174,0.736,211,40,4604,754.5,5284,431,191,5786,227,0.666,287,T1
34,7-Aug-12,Pallekele,Sri Lanka,India,35,4002,666.5,4674,468,104,4892,208,1.187,223,29,3340,566.1,4208,355,158,4498,153,0.933,175,T2
35,5-Sep-12,Dubai (DSC),Australia,Pakistan,46,5143,872.4,6745,547,270,6484,298,1.19,285,46,5405,876,6250,525,194,6146,289,1.19,314,T2
36,8-Sep-12,Chester-le-Street,South Africa,England,41,4646,782.1,5633,473,209,5757,246,1.733,246,41,4752,761.4,5829,538,153,5684,241,1.277,252,T1
37,10-Sep-12,Dubai (DSC),Pakistan,Australia,47,5494,895.3,6339,536,195,6229,299,1.238,317,47,5260,887.3,6825,550,270,6574,301,1.136,295,T2
38,11-Sep-12,Chennai,India,New Zealand,30,3460,584.1,4353,372,161,4612,162,1,178,41,4716,774.5,5396,435,196,5962,232,0.64,297,T2
39,12-Sep-12,Birmingham,South Africa,England,42,4760,802.1,5750,488,209,5870,252,1.8,249,42,4872,780.4,5942,549,154,5802,244,1.21,259,T2
40,19-Sep-12,Colombo (RPS),New Zealand,Bangladesh,42,4836,794.5,5560,452,200,6125,236,0.68,302,15,1694,270.5,1710,143,50,2155,71,0.153,127,T1
41,21-Sep-12,Pallekele,South Africa,Sri Lanka,43,4826,813.1,5832,495,211,5986,257,1.687,254,36,4110,686.5,4781,480,104,5040,211,1.117,233,T1
42,22-Sep-12,Hambantota,Australia,West Indies,48,5380,906.4,6983,556,282,6644,310,1.181,302,34,3727,632.3,4452,386,168,4978,183,0.789,216,T1
