T1_Tweets,T1_Positive_Tweets,T1_Winner_Prediction,T2_Tweets,T2_Positive_Tweets,T2_Winner_Prediction,Winner
12,12,0,9,8,0,T2
31,24,0,6,6,0,T2
56,47,1,101,84,2,T1
13,13,0,15,13,0,T2
32,26,0,14,13,0,T1
32,28,0,16,15,0,T2
11,9,0,9,6,0,T2
21,19,0,8,7,0,T2
105,72,2,130,91,0,T2
18,18,0,7,5,0,T1
11,10,0,5,4,0,T2
6,6,0,6,6,0,T2
137,119,0,26,24,0,T2
48,41,0,16,13,0,T1
4,3,0,60,49,1,T1
3,3,0,42,35,0,T2
13,11,0,4,2,0,T1
211,177,0,113,90,2,T1
198,154,0,131,102,1,T2
19,18,0,23,20,0,T2
16,15,0,23,20,0,T1
27,23,1,25,20,0,T1
163,145,3,16,13,0,T1
131,116,2,15,13,0,T2
141,125,10,15,14,0,T2
12,12,0,31,30,0,T1
245,144,0,564,457,18,T1
21,18,0,15,13,0,T2
75,67,0,125,117,4,T1
22,20,1,82,54,3,T2
45,40,1,15,12,0,T1
24,23,0,10,10,0,T2
83,76,0,117,93,0,T1
55,45,0,134,99,0,T2
19,17,0,285,223,5,T2
13,13,0,54,49,0,T1
197,169,2,26,22,0,T2
119,99,2,21,20,0,T2
28,27,0,66,53,1,T2
34,33,0,17,15,0,T1
26,25,0,54,45,0,T1
41,37,0,21,21,0,T1
170,147,2,18,14,0,T1
28,25,0,171,146,3,T2
141,115,6,4,4,0,T1
16,16,0,15,13,0,T2
51,48,0,198,171,0,T2
55,51,0,306,252,4,T1
20,19,0,15,15,0,T1
24,20,0,11,9,0,T1
287,260,2,111,91,0,T2
857,557,33,901,869,21,T2
9,7,0,13,11,0,T2
84,72,4,333,260,14,T2
156,119,0,288,229,7,T2
584,496,12,134,118,0,T2
155,143,1,133,125,2,T2
162,137,2,158,142,1,T2
5,3,0,21,20,1,T1
22,20,3,362,287,3,T2
137,130,1,11,9,0,T1
193,178,3,4,3,0,T2
65,57,0,16,14,0,T2
421,346,8,673,581,11,T1
80,67,0,13,10,0,T1
478,359,6,681,598,9,T2
71,63,2,15,13,0,T2
14,11,1,45,29,1,T1
24,22,0,43,42,0,T1
24,21,2,18,15,0,T2
21,15,0,22,20,0,T2
12,12,1,5,5,0,T1
31,30,1,57,53,1,T2
20,14,0,27,19,0,T1
35,32,1,31,31,0,T2
100,84,3,51,41,0,T1
129,110,7,21,13,0,T1
30,26,0,23,23,0,T1
30,30,0,8,7,0,T1
33,28,0,18,9,0,T2
18,14,0,38,31,0,T2
7,7,0,34,28,0,T1
55,55,0,26,21,1,T1
16,13,0,8,7,0,T1
35,29,0,126,87,2,T1
27,23,0,57,40,2,T1
53,50,0,77,53,1,T1
6,4,0,9,6,0,T1
51,51,0,26,21,1,T2
16,13,0,102,91,4,T2
70,56,2,31,28,0,T2
6,5,0,19,19,0,T2
3,1,0,30,27,0,T2
6,5,0,48,39,1,T2
7,5,0,122,105,1,T2
45,44,0,21,14,0,T1
24,12,0,12,11,0,T1
10,6,0,9,7,0,T1
12,12,0,16,15,0,T2
15,12,0,16,15,0,T2
19,17,0,26,23,0,T2
10,7,0,17,17,1,T1
28,27,1,26,23,1,T2
1218,1712,64,999,823,54,T2
72,68,0,49,45,0,T2
23,13,0,115,114,0,T2
184,163,12,68,61,2,T1
98,92,5,31,28,0,T1
87,75,2,44,42,1,T1
21,18,0,48,33,3,T1
38,36,1,24,19,1,T2
54,43,1,15,11,1,T2
51,50,0,22,16,2,T1
81,70,0,14,14,0,T1
147,130,7,37,27,2,T1
122,99,1,112,86,2,T1
159,134,2,172,153,1,T1
179,138,2,76,68,0,T1
539,311,52,213,195,0,T2
621,501,2,316,280,1,T1
274,231,3,888,724,25,T2
843,783,8,901,859,292,T1
55,49,0,183,170,0,T1
83,77,1,46,44,0,T2
5,4,0,42,37,1,T1
332,292,2,334,290,5,T2
764,649,16,183,153,4,T2
139,132,1,450,384,3,T1
107,105,1,339,284,0,T2
98,88,0,290,263,2,T2
472,412,10,100,85,0,T1
419,387,8,459,413,0,T2
285,248,1,85,78,0,T2
202,177,0,54,44,0,T2
273,241,1,67,60,0,T1
346,275,2,373,309,2,T2
264,217,1,162,145,2,T1
283,263,2,153,147,0,T1
105,105,0,78,65,1,T1
223,197,0,340,314,5,T2
113,87,0,257,236,5,T2
231,219,1,94,74,0,T1
46,40,1,26,19,0,T2
112,96,0,320,289,0,T2
174,169,0,711,640,6,T1
