ID,Date,Venue,T1,T2,T1_Mat,T1_BowlsFace,T1_OversBowl,T1_RunsScored,T1_4s,T1_6s,T1_RunsConceded,T1_WktsTaken,T1_W/L,T1_WktsLost,T2_Mat,T2_BowlsFace,T2_OversBowl,T2_RunsScored,T2_4s,T2_6s,T2_RunsConceded,T2_WktsTaken,T2_W/L,T2_WktsLost,Winner
454,22-Oct-22,Sydney,Australia,New Zealand,158,17356,3000.3,22962,1933,892,23142,978,1.135,942,144,16350,2714.5,20839,1697,855,21345,859,0.972,928,T2
455,23-Oct-22,Melbourne,India,Pakistan,161,18471,3062.5,24674,2166,940,23998,940,1.824,840,169,19697,3219.2,24009,2132,745,24144,990,1.38,1070,T1
456,25-Oct-22,Perth,Australia,Sri Lanka,159,17459,3020.3,23070,1942,897,23342,981,1.12,952,149,17113,2782.2,20204,1828,577,21877,786,0.732,1026,T1
457,27-Oct-22,Sydney,South Africa,Bangladesh,145,16281,2716.3,21104,1797,794,21370,900,1.23,807,99,11419,1828,12794,1167,345,14616,500,0.285,727,T1
458,29-Oct-22,Sydney,New Zealand,Sri Lanka,145,16470,2732,21034,1712,863,21455,869,0.986,931,150,17233,2798.5,20338,1840,579,22028,789,0.724,1032,T1
459,30-Oct-22,Perth,India,South Africa,162,18592,3082.5,24823,2175,946,24151,948,1.842,846,146,16405,2733,21297,1813,805,21466,909,1.246,812,T2
460,1-Nov-22,Brisbane,England,New Zealand,154,17620,2924.4,23556,2161,882,23688,897,1.231,961,146,16593,2751.2,21191,1724,868,21557,879,1,938,T1
461,2-Nov-22,Adelaide,India,Bangladesh,163,18712,3102.3,24948,2184,951,24282,953,1.81,855,100,11518,1848,12886,1170,349,14815,505,0.282,737,T1
462,3-Nov-22,Sydney,Pakistan,South Africa,170,19817,3239.2,24156,2144,751,24300,995,1.361,1078,147,16523,2753,21427,1824,810,21592,917,1.261,817,T1
463,5-Nov-22,Sydney,England,Sri Lanka,155,17741,2944.4,23730,2176,888,23845,903,1.246,967,152,17460,2838.5,20572,1864,585,22333,802,0.727,1046,T1
464,6-Nov-22,Adelaide,Pakistan,Bangladesh,171,19938,3253.2,24335,2157,761,24408,1003,1.375,1087,101,11614,1868,13027,1183,356,14998,510,0.278,743,T1
465,9-Nov-22,Sydney,Pakistan,New Zealand,172,20049,3273.2,24452,2164,764,24530,1011,1.388,1092,147,16713,2771.2,21343,1732,873,21733,884,0.986,944,T1
466,10-Nov-22,Adelaide,India,England,164,18835,3118.3,25126,2202,957,24425,958,1.827,861,156,17860,2964.4,23867,2188,890,23983,910,1.26,973,T2
468,13-Nov-22,Melbourne,Pakistan,England,173,20164,3293.2,24595,2178,765,24676,1014,1.402,1095,157,17956,2984.4,24033,2201,900,24151,915,1.275,973,T2
